IDfg,Season,Name,Age,wOBA_proj,wOBA_proj_lower,wOBA_proj_upper,wOBA_marcel,wOBA_actual_2024,Team,error
14366,2024,Joey Meneses,32,0.3178607479537476,0.2629384275027093,0.3712824552004979,0.3147636736112364,0.264,WSN,0.05386074795374757
14387,2024,Harold Ramirez,29,0.3009971740478899,0.245770325201251,0.35425861327033287,0.3163736181803191,0.265,- - -,0.03599717404788988
14477,2024,Jake Cave,31,0.30316873576757,0.25207953007268347,0.35368754504432154,0.293917346279655,0.295,COL,0.00816873576756999
14551,2024,Anthony Santander,29,0.3682271614528237,0.31700082766417265,0.4188883672783422,0.3194441113167935,0.345,BAL,0.02322716145282372
14712,2024,Manuel Margot,29,0.3118028203628608,0.26159692347916086,0.3611131952180218,0.3034965782761625,0.276,MIN,0.035802820362860754
14813,2024,Kyle Farmer,33,0.31336127835166655,0.26192857229978567,0.36459941439920207,0.30868868775099556,0.285,MIN,0.028361278351666575
14854,2024,Mike Yastrzemski,33,0.32743032700720087,0.2724046855855962,0.38086907471559683,0.31251618110970114,0.319,SFG,0.008430327007200866
14968,2024,Victor Caratini,30,0.303212263481001,0.25308923706222697,0.3527181458650251,0.29952108636604347,0.324,HOU,0.02078773651899901
15112,2024,Ryan McMahon,29,0.3716960850554477,0.3214397380250033,0.4221491087851034,0.3170179731834484,0.315,COL,0.05669608505544771
15161,2024,Mitch Garver,33,0.3680943684856817,0.31781260730365907,0.41778771718557134,0.3224313661868381,0.281,SEA,0.0870943684856817
15172,2024,Tim Anderson,31,0.2995656802468137,0.24985632253405465,0.34827593578782223,0.3023481689668508,0.208,MIA,0.09156568024681369
15194,2024,Jake Bauers,28,0.33767864837047373,0.2855722868299295,0.3893049854413132,0.29599620183028275,0.294,MIL,0.04367864837047375
15223,2024,Adam Frazier,32,0.3145345682711296,0.26539875850837374,0.3640053464940781,0.30365367998577175,0.261,KCR,0.05353456827112957
15274,2024,Mike Tauchman,33,0.2958501296658971,0.24095128302467664,0.3501193986260581,0.3054691978948905,0.325,CHC,0.029149870334102934
15279,2024,Garrett Cooper,33,0.3164588296159389,0.26205080391255475,0.3699682280549499,0.314582371058838,0.253,- - -,0.0634588296159389
15362,2024,Jeff McNeil,32,0.30019969747609127,0.247381293303617,0.3517380274267163,0.31730343746536493,0.304,NYM,0.0038003025239087274
15429,2024,Kris Bryant,32,0.3619242315664896,0.31268731688867896,0.41000146377877844,0.31799401197396243,0.287,COL,0.07492423156648964
15464,2024,Hunter Renfroe,32,0.30292901222634094,0.25265899577686174,0.3531093105810344,0.31765390318489817,0.302,KCR,9.290122263409528e-4
15491,2024,J.P. Crawford,29,0.3442537379458622,0.2944740216769774,0.39380945078617513,0.3188603827038049,0.283,SEA,0.06125373794586225
15518,2024,Amed Rosario,28,0.3105450697529093,0.25917873408395864,0.3599540754902365,0.3055743671840645,0.299,- - -,0.01154506975290931
15585,2024,Mike Ford,31,0.32854009969981984,0.2732473814484905,0.3822357690464294,0.30696316395650347,0.18,CIN,0.14854009969981985
15640,2024,Aaron Judge,32,0.4625690810060523,0.41284511348731656,0.5115368974837656,0.370547942051869,0.476,NYY,0.01343091899394766
15653,2024,Dominic Smith,29,0.30935645302771686,0.2595846211407794,0.3583884212479439,0.3002139646894454,0.306,- - -,0.003356453027716866
